epoch,energy,energy_std
0,-2.5049973,3.9997268
1,-2.5365894,4.0263414
2,-2.910165,4.227831
3,-3.0015955,4.025861
4,-3.2934628,4.0168176
5,-3.4976256,3.9879692
6,-3.566776,4.0335975
7,-3.9399211,4.1516685
8,-4.156377,4.0172553
9,-4.456761,4.0790906
10,-4.589498,4.0944104
11,-4.7112236,4.0920105
12,-4.9913616,3.9401503
13,-5.1853247,4.1544247
14,-5.425932,4.1694055
15,-5.6539836,4.1677713
16,-5.789659,4.172694
17,-6.1784873,4.174172
18,-6.4584765,4.161303
19,-6.632624,4.0844755
20,-6.913308,4.1552243
21,-7.0315137,4.268755
22,-7.3707566,4.169534
23,-7.535721,4.3110456
24,-7.804734,4.216347
25,-8.097057,4.393372
26,-8.441174,4.324534
27,-8.570346,4.386263
28,-8.8266115,4.319047
29,-9.159014,4.5262837
30,-9.396484,4.3043647
31,-9.838982,4.453068
32,-10.020944,4.434771
33,-10.2459,4.326341
34,-10.660311,4.3364077
35,-10.975052,4.1909804
36,-11.154438,4.32331
37,-11.438662,4.1661396
38,-11.542393,4.090274
39,-11.6943,4.1340795
40,-11.851247,4.108581
41,-12.012559,3.9899065
42,-12.240868,3.9184325
43,-12.48717,3.817733
44,-12.789134,3.6362894
45,-12.804281,3.7530186
46,-12.8968315,3.6635287
47,-13.123801,3.7400136
48,-13.008214,3.5988545
49,-13.313264,3.6221752
50,-13.349842,3.5345025
51,-13.567314,3.4747488
52,-13.53636,3.3759885
53,-13.63909,3.3642695
54,-13.690295,3.2649486
55,-13.8545685,3.2441614
56,-13.927026,3.1925428
57,-14.038696,3.2383163
58,-14.028272,3.197705
59,-14.173779,3.0970755
60,-14.215699,3.0596058
61,-14.2343645,3.027899
62,-14.336856,3.0317302
63,-14.367414,2.9475806
64,-14.510571,3.0523612
65,-14.45275,2.933188
66,-14.7153015,2.9456255
67,-14.583862,2.857309
68,-14.70498,2.9531379
69,-14.733943,2.8808227
70,-14.811131,2.9109972
71,-14.822295,2.772706
72,-14.9693,2.865127
73,-14.8721895,2.8082018
74,-15.065275,2.6910527
75,-15.016911,2.6423283
76,-15.062506,2.702917
77,-15.017211,2.6724017
78,-15.115615,2.5676587
79,-15.3055315,2.5823858
80,-15.1903305,2.606022
81,-15.261381,2.667223
82,-15.353787,2.6288338
83,-15.330765,2.5389266
84,-15.285424,2.512023
85,-15.448061,2.6051848
86,-15.537317,2.528407
87,-15.480503,2.5249097
88,-15.535756,2.4367902
89,-15.622858,2.5193048
90,-15.636721,2.4878557
91,-15.686859,2.4381711
92,-15.662183,2.4716048
93,-15.659802,2.5012026
94,-15.739656,2.4515917
95,-15.796266,2.3287094
96,-15.66869,2.4311101
