epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
0,-9.544368,4.3044147,23.914392,12.121682,1.2071171,1.9690698
1,-9.965324,4.2450805,24.591724,6.5835457,1.0470787,1.7093439
2,-10.185371,3.9765732,21.60487,4.957295,0.91618466,1.5325842
3,-10.320189,3.9966216,22.290747,4.157283,0.9044281,1.48309
4,-10.618885,4.033914,23.377563,3.580381,0.8025798,1.4004066
0,-10.618885,4.033914,23.377563,3.580381,0.8025798,1.4004066
1,-10.985284,3.869555,21.97599,2.6311283,0.7258663,1.298159
2,-11.253467,3.8851748,22.620579,2.602865,0.7000519,1.2646209
3,-11.47989,3.8982723,23.4397,2.4583378,0.6711289,1.2489928
4,-11.547178,3.7531574,21.286266,2.442998,0.6177498,1.1675622
5,-11.702964,3.5630891,20.194626,2.3982153,0.6239714,1.1498377
6,-11.916215,3.6482835,21.741606,2.1852503,0.57876754,1.1455584
7,-12.19716,3.5363483,20.564058,2.263272,0.5636613,1.0836875
8,-12.361534,3.5417309,21.000067,1.9819366,0.5589977,1.0926031
9,-12.410065,3.4559698,20.426035,1.8932954,0.5189774,1.0187699
10,-12.618891,3.3818295,19.164175,1.6512839,0.5033619,0.978094
11,-12.800587,3.333771,19.94415,1.8506829,0.5104499,0.9954221
12,-12.931182,3.2863796,19.421135,1.7339996,0.49305853,0.97551316
13,-13.042611,3.3424025,20.427982,1.6367445,0.5020204,0.98159754
14,-13.203801,3.1616304,18.377268,2.09918,0.4775901,0.9521552
15,-13.421084,3.0345273,18.027784,1.5103998,0.4640276,0.9089035
16,-13.514326,3.1132884,18.148884,1.4599162,0.46586314,0.8958436
17,-13.586555,2.9604201,16.44982,1.2774577,0.44946527,0.8679012
18,-13.645818,2.990476,17.640457,1.2498009,0.46790853,0.89354694
19,-13.872011,2.9429743,17.64457,1.1759592,0.45892203,0.8473554
20,-14.082762,2.8742528,17.393507,1.1758901,0.45312223,0.8527789
21,-13.994369,2.808897,15.550928,1.0547392,0.4656139,0.82067996
22,-14.084377,2.854531,16.97041,1.0787547,0.46546137,0.80492866
23,-14.178964,2.8221567,16.81245,1.0630939,0.47313643,0.79592115
24,-14.360823,2.8117726,16.316677,1.0357808,0.48560682,0.80373996
25,-14.496723,2.691625,16.387657,0.9264169,0.48942843,0.7838308
26,-14.416168,2.6519444,15.845724,0.84970635,0.49523157,0.7746827
27,-14.550235,2.603131,15.345991,0.88739973,0.5040012,0.77237093
28,-14.548912,2.6077049,14.889,0.8249141,0.5202213,0.7240167
29,-14.759403,2.5750918,14.901737,0.9351442,0.52792716,0.7281748
30,-14.804893,2.5122643,14.582317,0.882735,0.53732556,0.71113676
31,-14.812621,2.4362233,13.190642,0.84147173,0.5400242,0.7271982
32,-15.07053,2.48589,14.7690935,0.8377093,0.5576531,0.72167844
33,-15.006179,2.3663888,12.946879,0.78471154,0.5475598,0.700465
34,-15.08767,2.440921,13.673988,0.83068335,0.5645551,0.67180324
35,-15.165093,2.3315036,13.138939,0.6725043,0.55156684,0.69089663
36,-15.235486,2.3378801,13.147492,0.7541379,0.56208646,0.6602082
37,-15.26998,2.2140245,12.154921,0.6748272,0.5518435,0.6457501
38,-15.334542,2.3256576,12.673745,0.6295433,0.5702648,0.6356948
39,-15.315967,2.2765644,11.821147,0.6362582,0.580026,0.6331481
40,-15.398885,2.1905236,11.546564,0.6429333,0.57847047,0.62741315
41,-15.564724,2.2196038,12.218722,0.6414197,0.58173996,0.60707265
42,-15.498819,2.1725545,11.52887,0.6048583,0.5672431,0.63018274
43,-15.5216875,2.1876025,12.126894,0.5520775,0.586561,0.6065182
44,-15.526263,2.1117594,10.554328,0.57088953,0.575432,0.5980358
45,-15.607672,2.1397867,11.549904,1.6936798,0.56781214,0.58126605
46,-15.680822,2.1407852,10.787343,0.5426862,0.5811011,0.5754332
47,-15.756338,2.0662537,11.584347,0.91978276,0.573075,0.55557805
48,-15.81116,2.0870483,11.549713,0.55389184,0.58458143,0.54874915
49,-15.827851,2.0102973,9.785939,0.626748,0.5687343,0.55703187
50,-15.866889,2.0198178,10.060471,0.5152218,0.59571123,0.5257839
51,-15.837099,1.975067,9.192311,0.46902114,0.5795742,0.547547
52,-15.80578,2.0981507,10.619993,0.54066795,0.60726297,0.528889
53,-15.89378,1.9430346,9.849699,0.4261315,0.58191407,0.4956836
54,-16.003397,1.9957776,10.311424,0.45745975,0.5951552,0.5116878
55,-16.074768,1.9554293,8.904799,0.4971268,0.5943763,0.5275307
56,-16.032957,1.9408607,8.6527195,0.48182324,0.59908676,0.4966323
57,-16.113144,1.945943,10.3268385,0.4465217,0.6024066,0.48463064
58,-16.123306,1.8581558,8.578504,0.45430326,0.5888668,0.48357153
59,-16.101274,1.9046272,8.50944,0.48405766,0.58924365,0.4730577
60,-16.139053,1.8874542,9.174495,0.38108292,0.59813076,0.4628143
61,-16.191984,1.8472223,8.619632,0.46211645,0.5925392,0.4453803
62,-16.25996,1.8314244,8.340845,0.38379285,0.5889028,0.42571878
63,-16.202246,1.8763901,7.9257274,0.36737788,0.61948633,0.42436498
64,-16.24092,1.8905305,8.5897455,0.44244248,0.6158604,0.4142208
65,-16.309723,1.8583562,7.829437,0.36540034,0.6229688,0.4148839
66,-16.29367,1.8587041,8.542036,0.44421023,0.6057903,0.42022422
67,-16.318419,1.8318832,8.549607,0.4152542,0.61614436,0.3904003
68,-16.295544,1.8158039,7.1956363,0.40066725,0.60442597,0.38394737
69,-16.389313,1.7807609,7.506872,0.4904726,0.6155187,0.38595173
70,-16.416624,1.8023701,7.9126844,0.3614928,0.6178403,0.36990327
71,-16.42091,1.7979077,7.1784062,0.3556584,0.63924515,0.33124623
72,-16.395128,1.8088351,7.142556,0.3147018,0.6313066,0.3561355
73,-16.424164,1.7803411,7.8605046,0.33065805,0.60910815,0.3337641
74,-16.499199,1.7567989,6.9939737,0.25720754,0.63097364,0.33449662
75,-16.471087,1.8086497,7.289972,0.28207844,0.6385937,0.31362745
76,-16.453913,1.7254835,7.6002264,0.26981583,0.6018227,0.3261523
77,-16.587074,1.6703546,6.4170847,0.29778033,0.59689754,0.2983255
78,-16.51044,1.7481467,6.3860097,0.51459473,0.62526876,0.2885968
79,-16.545895,1.7287415,6.462296,0.4233386,0.6324839,0.28121704
80,-16.494942,1.7407473,7.018619,0.22103721,0.62490344,0.27279097
81,-16.59494,1.7802006,7.2252145,0.29944178,0.6560513,0.2632872
82,-16.58484,1.7264955,7.244033,0.31086496,0.6201366,0.25322565
83,-16.57682,1.749309,5.247609,0.28450716,0.6479574,0.24557954
84,-16.558382,1.7363027,6.9939523,0.205225,0.6338491,0.24381836
85,-16.642904,1.7219293,7.1012416,0.3282963,0.6325264,0.23477809
86,-16.689959,1.702526,6.197896,0.3009502,0.6289671,0.21337874
87,-16.682549,1.6986935,6.560622,0.1869632,0.62771356,0.20100372
88,-16.61214,1.6839863,5.4592896,0.18744166,0.6364374,0.18999119
89,-16.639246,1.6952298,6.582762,0.1658156,0.6221725,0.17545053
90,-16.671762,1.6744536,5.823044,0.22332864,0.6417952,0.16223201
91,-16.706352,1.7032613,6.371148,0.17364219,0.64457786,0.15815248
92,-16.715687,1.6996721,6.2523484,0.2808345,0.6475786,0.13485594
93,-16.708298,1.7025392,6.179546,0.14618896,0.6535087,0.12945764
94,-16.644281,1.7436261,8.039309,0.29375538,0.64541876,0.11307601
95,-16.726814,1.6661036,7.466044,0.29660523,0.64465266,0.104880475
96,-16.796116,1.6462983,4.5596027,0.38360095,0.6438867,0.097429946
97,-16.759453,1.6927817,4.875641,0.25241125,0.64860076,0.08913441
