epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
0,24.979704,5.0781093,6.9544005,26.457188,3.5270889,5.8691373
1,23.2197,6.5454946,8.449718,37.609173,4.7663507,7.4909253
2,19.375235,8.4913845,14.702301,51.790928,6.3897204,9.589737
3,12.673845,9.537122,22.990877,58.390717,6.5774274,9.758475
4,5.968092,8.50291,26.2977,54.50706,5.636023,7.35823
5,2.4492817,6.57668,21.621962,32.329395,4.3313665,5.559965
6,1.2073303,5.705679,18.837286,28.832012,3.7079046,4.7415323
7,0.07286067,5.28113,19.069263,20.05269,3.4657047,4.302075
8,-0.1998404,5.1017895,20.179396,19.175009,3.271161,3.848629
9,-0.51057833,4.6944723,17.588123,14.456728,3.1339633,3.6596236
10,-0.7104597,4.52453,17.964476,13.446896,2.9790673,3.4890475
11,-1.0278027,4.3413286,15.202681,10.542717,2.8752766,3.512602
12,-1.1905051,4.4108987,16.487062,12.973474,2.8900728,3.4770286
13,-1.2882249,4.4613476,15.898463,17.070501,2.8462422,3.4106512
14,-1.5373691,4.472424,24.13108,31.959332,2.6794364,3.2908652
15,-1.409112,4.082798,14.4281845,10.362668,2.730964,3.1877532
16,-1.6038352,4.050274,13.631095,8.695101,2.8279655,3.2207408
17,-1.4701732,4.1971765,15.84977,11.208423,2.8310676,3.1340735
18,-1.8077173,4.355753,23.956322,13.0241585,2.85104,3.2998219
19,-1.7671924,4.136661,14.528514,10.164478,2.808676,3.2823987
20,-1.726928,4.246173,16.110867,11.504491,2.7276287,3.1701024
21,-1.885431,4.1287775,14.796891,11.454699,2.8857043,3.1673152
22,-2.0441515,3.9836693,13.0687275,9.721252,2.684488,3.1397166
23,-2.0169191,3.9769964,12.8684845,9.288026,2.7876868,3.1178226
24,-1.9703931,3.9760592,15.36845,8.355642,2.7492619,2.985236
25,-2.16299,4.154721,14.291338,8.893606,2.7841804,3.2151778
26,-2.288353,4.2149277,15.4711685,16.371181,2.904095,3.2008917
27,-2.3082771,3.9219556,12.834983,7.1463046,2.6900663,3.0257294
28,-2.3716338,3.8850615,12.523587,8.861099,2.6845014,3.1480727
29,-2.405218,4.1342807,15.654747,14.186633,2.7281578,3.1335065
30,-2.2946205,4.0138774,13.518038,10.03765,2.8350818,3.1555688
31,-2.3739743,3.9749787,13.276228,9.847972,2.715135,3.0424354
32,-2.442569,3.9474294,13.413618,7.2821302,2.6401358,3.1057084
33,-2.5895875,4.0771003,14.589138,12.022585,2.6194623,3.098534
34,-2.5875835,4.061591,15.55813,13.277191,2.7531836,3.2173002
35,-2.5385666,4.337431,34.343178,52.291355,2.7485366,3.169714
