epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,26.344746,2.6398933,8.0343,0.87272924,0.70081395,2.1603193,0.04
1,26.118093,2.8516097,7.984455,1.4161866,0.7273974,2.8511674,0.049999997
2,25.696882,3.271567,8.103063,2.5632033,0.75401914,3.8760908,0.062499996
3,24.288073,4.3716674,9.304395,6.227226,0.7888831,6.0567803,0.07812499
4,17.9342,6.1945825,8.543382,15.321683,1.0070065,8.263,0.09765624
5,1.1352781,5.129385,16.067762,12.412139,1.3469683,3.012664,0.122070305
6,-1.0428032,3.935801,12.748157,4.4348483,1.0459905,1.7780572,0.15258788
7,-1.6589162,3.9388607,13.07209,4.581777,1.0295184,1.8598317,0.19073485
8,-2.3810704,3.8273008,12.172087,4.6084847,1.0304115,1.8621374,0.2
9,-3.503816,3.6590836,11.676204,3.5378003,0.95131904,1.7784896,0.2
10,-4.2922096,3.667115,11.8797035,3.5094504,0.9279816,1.8684738,0.2
11,-5.3953447,3.6264796,11.321223,2.4921653,0.9479972,2.0137296,0.2
12,-6.3570642,3.517378,11.068608,3.850404,0.95267165,1.9251647,0.2
13,-7.1272216,3.4890466,11.524937,2.997703,0.9449036,1.8194098,0.2
14,-7.87291,3.4579637,11.611232,1.8783166,0.894569,1.9497994,0.2
15,-8.70115,3.3111672,11.406088,2.5566676,0.8889314,1.8621038,0.2
16,-9.322514,3.1992223,9.629118,1.910997,0.9048421,1.6548474,0.2
17,-9.79949,3.2028856,10.9933815,1.0740186,0.8922798,1.5676092,0.2
18,-10.253722,3.1958694,9.744186,1.2951665,0.9402103,1.5141112,0.2
19,-10.5188675,3.062881,8.395535,1.637712,0.92779064,1.4464902,0.2
20,-10.84991,3.1369288,9.520783,2.281671,0.9806942,1.3980397,0.2
21,-11.130561,3.1921403,8.167799,2.0911233,1.0317888,1.4410001,0.2
22,-11.66265,3.2047431,7.668334,2.9089403,1.0522764,1.7119769,0.2
23,-12.264833,3.0938206,8.452763,3.196301,1.0152235,1.8184378,0.2
24,-13.008088,2.8152559,8.416069,2.9274993,0.92338014,1.5343771,0.2
25,-13.240066,2.722328,7.125227,2.3070924,0.95803916,1.1496396,0.2
26,-13.403872,2.6517975,8.312347,2.5921454,0.9247764,1.2269527,0.2
27,-13.739137,2.6273513,8.75033,2.520398,0.90258944,1.1092682,0.2
28,-13.960303,2.594737,7.781778,3.0579386,0.8408054,1.6849653,0.2
29,-14.379291,2.6112251,9.042015,3.4160354,0.8174329,1.5746595,0.2
30,-14.827285,2.7532246,11.583616,4.4486146,0.7335139,2.48142,0.2
31,-15.393249,2.7999642,12.082367,4.1120195,0.68313795,2.7834177,0.15835494
32,-15.680568,2.739434,11.636882,5.52275,0.66237557,2.4929173,0.09504957
33,-16.169134,2.2687218,12.6831455,2.0057428,0.60539794,1.3522242,0.11881196
34,-16.231915,2.416729,11.070521,2.8358436,0.62321407,2.232712,0.14851494
35,-16.400524,2.2490685,11.324462,2.909911,0.63280845,1.489926,0.121781886
36,-16.581167,2.0452464,10.167212,0.84399444,0.6203561,1.035466,0.15222736
37,-16.58677,1.9484514,9.670056,1.3638138,0.6194836,1.0377208,0.1902842
38,-16.702612,1.9405473,9.325277,0.808673,0.650486,0.89658487,0.2
39,-16.731985,2.062869,10.047258,2.8426352,0.6185556,1.8413959,0.16689037
40,-16.728054,2.0800533,7.272207,2.9465103,0.64805466,1.8669692,0.10439794
41,-16.869957,1.8416941,9.442508,0.95792776,0.6506309,0.83864534,0.13049743
42,-16.928251,1.9501933,6.4547977,2.0621152,0.6403927,1.6255403,0.11839871
43,-17.001358,1.7844844,7.6316824,0.63953,0.6518965,0.705741,0.1479984
44,-16.965748,1.7324648,6.155388,1.3400207,0.63893193,0.8996364,0.18499799
45,-17.062012,1.7900902,6.8134375,1.7413018,0.6415278,1.0802798,0.12633042
46,-17.072853,1.7640187,8.369178,1.746799,0.65907216,0.91284,0.087833054
47,-17.03612,1.6640443,6.9932976,0.58606493,0.65072715,0.4229749,0.109791316
48,-17.078026,1.6597999,6.9609237,0.7126719,0.64233273,0.5336784,0.13723914
49,-17.111458,1.6392416,6.5790668,0.49960923,0.63300467,0.54449606,0.17154893
50,-17.069323,1.8606147,6.010276,2.118892,0.64437413,1.7165185,0.114109434
51,-17.03346,1.9284928,6.742684,3.3181403,0.6326715,1.8366555,0.058628306
52,-17.177757,1.6687987,6.6626053,0.6351313,0.65340286,0.5089487,0.073285386
53,-17.154669,1.6290466,7.4594836,0.7285909,0.64583486,0.27772084,0.091606736
54,-17.21866,1.5595031,6.7684674,0.13559593,0.6260083,0.25043303,0.11450842
55,-17.206692,1.6031574,7.1061287,0.17767414,0.651187,0.27582848,0.14313552
56,-17.201635,1.6036683,6.405516,0.2825374,0.648863,0.26590198,0.1789194
57,-17.238602,1.5919971,6.72847,0.53280973,0.62670916,0.49998957,0.2
58,-17.304897,1.627799,7.710249,0.5403727,0.6501342,0.4324704,0.2
59,-17.287477,1.6753999,8.467805,0.8242263,0.67258877,0.51628006,0.2
60,-17.259941,1.6309426,8.247387,0.51858926,0.6267083,0.6462172,0.2
61,-17.270308,1.7650491,8.262162,1.9790577,0.6466002,1.2403258,0.12372176
62,-17.264832,1.6834582,9.791837,1.4916136,0.644016,0.9332445,0.09841968
63,-17.287453,1.5481677,8.520704,0.47603235,0.6209905,0.28918052,0.1230246
64,-17.395746,1.616557,8.295672,0.49741498,0.65554714,0.34570244,0.15378074
65,-17.35851,1.5211376,6.441326,0.43281794,0.6167078,0.38214585,0.19222593
66,-17.373436,1.6443474,8.711862,1.587819,0.6105448,1.1733317,0.1643175
67,-17.21189,2.056196,9.616055,3.8530784,0.6215507,2.3480093,0.06754349
68,-17.334017,1.5877112,6.7018023,1.9026867,0.6253166,0.54095614,0.058216874
69,-17.461329,1.5281044,6.6402063,0.9232526,0.62771416,0.25899726,0.072771095
70,-17.396555,1.5802886,6.287775,0.36721528,0.64840376,0.21881992,0.09096387
71,-17.434744,1.5081568,4.7543964,0.122117326,0.6230377,0.18571812,0.11370484
72,-17.412794,1.5386183,7.269927,0.13783863,0.62790936,0.1667755,0.14213105
73,-17.48573,1.5530446,6.325161,0.22946525,0.6467261,0.22248171,0.1776638
74,-17.463594,1.54193,6.4617066,0.49349022,0.63871187,0.3803552,0.2
75,-17.450777,1.7796361,7.6562552,1.9008869,0.6568499,1.3732212,0.15405588
76,-17.300882,2.0073094,8.980321,3.9185905,0.62792695,2.2427754,0.07635282
77,-17.473875,1.5760567,8.374884,1.1738079,0.6377383,0.43384266,0.07497318
78,-17.443102,1.5593209,8.02622,0.7787474,0.635702,0.24679936,0.09371647
79,-17.51277,1.5650045,6.598844,0.13749863,0.6510139,0.24877258,0.11714559
80,-17.437363,1.4916339,7.804678,0.19718623,0.6047665,0.25405657,0.14643198
81,-17.470451,1.573307,6.627514,0.37172484,0.6585756,0.38812435,0.18303998
82,-17.443588,1.614242,7.2023854,1.3359455,0.62520343,1.1273452,0.17086102
83,-17.437998,1.6896555,7.2079086,2.3372192,0.61240226,1.4714986,0.09636128
84,-17.431738,1.5436836,8.66426,0.80473614,0.62036973,0.40925685,0.1204516
85,-17.443289,1.5336351,7.407799,0.639729,0.6199822,0.4207469,0.15056449
86,-17.518908,1.5945878,5.126199,0.85271245,0.63740903,0.6594196,0.18820561
87,-17.391396,1.928083,7.342439,2.8989189,0.6321307,2.2099762,0.08935185
88,-17.532547,1.5835099,5.69253,1.162808,0.6400659,0.69417065,0.07419768
89,-17.4718,1.508787,8.4971075,0.45647964,0.62246823,0.19124268,0.0927471
90,-17.5322,1.5529859,6.858308,0.34272,0.6534686,0.1968618,0.11593387
91,-17.562147,1.4784211,6.479206,0.18549225,0.6212305,0.20025828,0.14491734
92,-17.544844,1.5307931,6.604128,0.4525373,0.6371701,0.38738272,0.18114668
93,-17.598831,1.486336,5.2458344,0.5143436,0.6111026,0.48575327,0.2
94,-17.45754,1.881794,6.6981273,2.3821423,0.64937204,1.9147682,0.10351528
95,-17.466253,1.7428002,7.641657,2.5151033,0.64358455,1.3560126,0.06593424
96,-17.504177,1.5427136,7.504563,0.6569448,0.63733566,0.33133486,0.0824178
97,-17.566345,1.5015192,6.9933147,0.47628656,0.63735574,0.1628059,0.10302225
98,-17.524052,1.4979045,5.405086,0.13147362,0.6296997,0.16564597,0.1287778
99,-17.53993,1.5179151,6.342514,0.3249291,0.6212347,0.32374978,0.16097225
100,-17.568546,1.5157824,6.073642,0.5872006,0.6201028,0.54826856,0.2
101,-17.465124,1.6928408,8.031671,2.035149,0.59961134,1.6545358,0.11630939
102,-17.545084,1.605731,8.9989195,1.6751182,0.61765647,1.1939964,0.08223264
103,-17.544596,1.5395234,8.2346,0.3889747,0.6456373,0.27600542,0.1027908
104,-17.64852,1.509573,5.821234,0.56617606,0.6235189,0.32742366,0.12848851
105,-17.644516,1.5038075,6.1926737,0.5725808,0.6272303,0.52926683,0.16061065
106,-17.566313,1.6350331,7.919744,1.5112215,0.6285443,1.2280324,0.11116242
107,-17.607597,1.4576238,7.129103,0.60691535,0.61239946,0.36811283,0.13895302
108,-17.515356,1.4972047,8.1557255,0.30161986,0.61794484,0.28120306,0.17369127
109,-17.58961,1.5295577,6.0349402,0.4376869,0.6323274,0.42156535,0.2
110,-17.51952,1.5323846,7.8597517,0.6731185,0.621733,0.5280693,0.2
111,-17.570524,1.4894685,6.4870787,0.5983596,0.59146225,0.6954275,0.2
112,-17.559801,1.7035443,8.160902,1.6385564,0.630098,1.3877698,0.12366298
113,-17.568775,1.5841186,6.6399603,1.7630684,0.62083167,0.89304125,0.09019524
114,-17.581009,1.4480555,6.3430543,0.55655515,0.5896541,0.4530258,0.11274405
115,-17.591255,1.4812028,7.3296614,0.7767948,0.60799533,0.55312485,0.14093006
116,-17.595402,1.5126585,6.61267,0.2591199,0.6341979,0.3476524,0.17616257
117,-17.600578,1.5184475,8.142621,1.4066033,0.5927352,0.99157107,0.2
118,-17.478142,2.0768661,8.124469,3.9726968,0.6036169,2.5414655,0.069406174
119,-17.546005,1.5279979,8.756994,2.0276978,0.6215693,0.46461263,0.059247904
120,-17.549469,1.4180672,8.241531,1.1368787,0.58447605,0.25038713,0.07405988
121,-17.61987,1.4625657,5.5032306,0.41539705,0.61603886,0.19676808,0.09257485
122,-17.573242,1.3896745,5.52818,0.14394903,0.5806073,0.17557429,0.11571856
123,-17.64512,1.5126154,5.491201,0.18478775,0.63603604,0.14341891,0.1446482
124,-17.60964,1.4160637,7.7399487,0.23447323,0.588807,0.2392376,0.18081024
125,-17.568457,1.5261208,7.9331174,0.5749534,0.63655406,0.5212172,0.2
126,-17.5405,1.6973673,7.061741,2.3391683,0.60576725,1.5853976,0.12716052
127,-17.600027,1.6232766,8.205605,1.928983,0.59290963,1.3189698,0.081386834
128,-17.611122,1.3973795,6.487434,0.6209287,0.5785777,0.24205656,0.10173354
129,-17.667519,1.5019219,4.3859363,0.4861669,0.63054574,0.26195386,0.12716693
130,-17.628859,1.4197667,5.9380407,0.40695432,0.5851489,0.3622746,0.15895866
131,-17.668344,1.5095121,5.05742,1.1292973,0.6078941,0.915807,0.19869833
