epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420074,2.074479,9.369663,0.8405875,0.4783053,1.7609046,0.04
1,17.223503,2.1910229,10.110258,1.0672455,0.4761511,1.9886589,0.04
2,17.100872,2.3701718,10.758771,1.4706961,0.4947768,2.4409409,0.04
3,16.74006,2.6145663,11.800096,2.132178,0.49818188,2.9608383,0.04
4,16.298265,2.9889123,12.97926,3.1509945,0.53462875,3.5613046,0.04
5,15.42059,3.4630654,14.449551,4.7568407,0.5858087,4.3874164,0.04
6,14.016653,3.913406,16.043594,6.330375,0.68758154,4.9331717,0.04
7,11.908783,4.4844484,17.856773,8.054082,0.87007385,5.448038,0.04
8,9.315963,4.7369027,18.92218,8.992407,1.0184567,5.3745446,0.04
9,6.4182353,4.97253,20.099556,8.879466,1.110283,5.294297,0.04
10,3.6008773,4.887203,19.727943,8.678935,1.1661222,4.1576543,0.04
11,1.4591612,4.616039,19.721424,6.991289,1.1583546,3.362633,0.04
12,0.04298941,4.543731,20.439243,6.371322,1.1423076,2.8806522,0.04
13,-0.77508557,4.3535852,22.18089,4.7493196,1.0980133,2.4559145,0.04
14,-1.4891914,4.2666225,20.01136,4.2688856,1.076786,2.244784,0.04
15,-1.7619164,4.2419267,22.287987,3.9848866,1.0874046,2.128634,0.04
16,-2.22447,4.2472644,22.2666,3.4785964,1.075427,2.035188,0.04
17,-2.5071151,4.2000837,21.790827,3.1085346,1.0748045,2.007712,0.04
18,-2.7870693,4.2037,21.95938,4.254571,1.089519,1.9655622,0.04
19,-2.9938917,4.1195035,21.080263,3.821575,1.0217037,1.8131546,0.04
20,-3.451516,4.1819816,22.47181,3.7475212,1.1031439,1.9321262,0.04
21,-3.5789473,4.0983562,21.865105,4.1364202,1.0463923,1.9758852,0.04
22,-3.8686323,4.286298,24.53566,3.8265438,1.0827699,1.9664985,0.04
23,-4.1524515,4.255348,24.300503,3.54348,1.0808486,2.0558486,0.04
24,-4.3775444,4.345066,26.97015,4.46502,1.1337973,2.0342884,0.04
25,-4.880587,4.19455,24.390955,3.5987175,1.1131932,2.1429098,0.04
26,-5.074446,4.1759367,24.068739,3.3141809,1.0976729,2.028927,0.04
27,-5.340674,4.404991,24.90202,3.2236996,1.1698155,2.0014124,0.04
28,-5.456537,4.277022,23.561256,3.6457434,1.1703737,2.010752,0.04
29,-5.7588778,4.357011,25.995378,3.6833713,1.128964,2.208609,0.04
30,-6.1118326,4.440702,27.470713,3.786844,1.1802415,2.0087187,0.04
31,-6.37731,4.490646,27.532516,3.8977695,1.1927842,2.0411215,0.04
32,-6.633928,4.3161306,23.14207,3.5354495,1.1951414,2.0746994,0.04
33,-6.942405,4.446945,24.96644,3.6707606,1.2406601,2.0943809,0.04
34,-7.2177873,4.535917,26.76417,4.2261143,1.2620597,1.9259899,0.04
