epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420074,2.074479,9.369663,0.8405875,0.4783049,1.7609047,0.04
1,17.237015,2.1727228,10.466047,0.9862886,0.4732029,1.9100692,0.04
2,17.129429,2.319878,11.068689,1.2504901,0.49601966,2.1980214,0.04
3,16.941875,2.462021,10.722855,1.6380545,0.507992,2.620855,0.04
4,16.600292,2.7223458,13.419422,2.237932,0.5135808,2.9824798,0.04
5,16.304426,2.9820697,12.466076,3.244414,0.5356752,3.6877794,0.04
6,15.641701,3.2903788,14.01428,4.1467776,0.55643713,4.1828976,0.04
7,14.6367,3.6921887,15.964868,5.3164587,0.63883215,4.84003,0.04
8,13.560643,4.07862,15.2263365,6.306469,0.74968183,5.35359,0.04
9,11.811937,4.5928483,19.512037,7.913384,0.8967691,5.595188,0.04
10,9.898574,4.8563113,16.731857,9.179071,1.0007663,5.757762,0.04
11,7.5012994,5.081601,19.3335,9.044397,1.1288327,5.450408,0.04
12,5.145878,5.200619,21.466345,9.221533,1.2414651,4.714752,0.04
13,3.5820322,5.01176,20.56493,8.262183,1.2762649,4.0711393,0.04
14,2.0236244,4.84976,18.951717,8.167223,1.2303356,3.762352,0.04
15,1.0222232,4.664052,18.96655,6.801878,1.1967577,3.1183217,0.04
16,0.14489274,4.5370464,21.082582,5.5828633,1.159796,2.8209994,0.04
17,-0.45461348,4.4494247,19.489902,5.2293344,1.1516925,2.580802,0.04
18,-0.8245315,4.496662,20.898,5.270842,1.1670653,2.508742,0.04
19,-1.1313835,4.457385,20.32489,4.283142,1.1578542,2.4517457,0.04
20,-1.5433838,4.2432914,19.493643,3.564316,1.1122711,2.1090584,0.04
21,-1.8135241,4.314681,20.840889,3.611725,1.1145419,2.2348514,0.04
22,-2.0683937,4.2436075,21.239088,3.8633635,1.1101304,2.030156,0.04
23,-2.2717273,4.268426,21.313198,3.9853787,1.0818374,2.1401,0.04
24,-2.330501,4.2522964,20.719303,3.4453857,1.0892581,1.8798536,0.04
25,-2.5274155,4.36034,23.396303,3.667038,1.1020864,2.043199,0.04
26,-2.538602,4.291803,22.95449,3.543714,1.1388931,1.911519,0.04
