epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420074,2.074479,9.369663,0.8405875,0.4783049,1.7609047,0.04
1,17.228909,2.1669078,10.67707,0.94021153,0.47404903,1.8819598,0.04
2,17.188856,2.2569618,10.973879,1.1770532,0.5023359,2.0623481,0.04
3,17.124292,2.4125698,11.092326,1.4849529,0.49758592,2.4684985,0.04
4,16.949688,2.467421,11.555734,1.6944312,0.48800623,2.6468961,0.04
5,16.668133,2.6968262,13.128324,2.1774259,0.5141295,2.9787912,0.04
6,16.535551,2.7970555,12.256367,2.4840312,0.526192,3.3786278,0.04
7,16.110722,3.123712,14.244917,3.40261,0.5438368,3.8235638,0.04
8,15.620766,3.2838514,12.211851,4.1949925,0.56816655,4.241811,0.04
9,15.071226,3.5667083,13.474817,5.0160093,0.61761534,4.691675,0.04
10,14.181973,3.9936137,15.871092,6.4615965,0.69860876,5.0685377,0.04
11,13.240035,4.158749,16.175932,6.9994903,0.80228794,5.231877,0.04
12,12.053,4.499002,15.60138,8.324826,0.87107843,5.6997824,0.04
13,10.672286,4.7752676,17.444641,9.537881,0.9755876,5.615187,0.04
14,9.239158,4.880291,19.05253,8.758137,1.04944,5.5756764,0.04
15,7.751166,5.1022983,19.073286,9.305833,1.1331698,5.53973,0.04
16,6.087704,5.1896844,19.301018,9.365895,1.1974673,5.1438837,0.04
17,4.619783,5.023583,16.520037,8.919066,1.22486,4.641283,0.04
18,3.393481,4.9572096,18.352955,8.587958,1.2480423,4.0618567,0.04
19,2.344817,4.8770113,19.095184,7.5217457,1.2294043,3.8095348,0.04
20,1.5174567,4.7484827,19.358145,7.8064322,1.2162093,3.3247342,0.04
21,0.8923192,4.639837,18.62794,7.2553325,1.1983169,3.0805871,0.04
22,0.30809277,4.5737853,18.40331,6.209938,1.1368853,2.9701092,0.04
23,-0.1729997,4.5789857,21.397789,5.977165,1.1642752,2.764538,0.04
24,-0.5693161,4.5013733,20.985182,5.5632534,1.1382121,2.7269034,0.04
25,-0.924307,4.3215117,17.613087,5.0523944,1.1009626,2.463464,0.04
26,-1.2771672,4.2979417,19.93828,4.751206,1.1126528,2.2184436,0.04
27,-1.4379992,4.307315,21.410648,5.30411,1.0872897,2.287014,0.04
28,-1.6488256,4.334636,20.372602,4.2625313,1.1339293,2.2349086,0.04
29,-1.8804898,4.2212377,18.076052,4.5488467,1.101892,2.0414784,0.04
30,-2.0870302,4.266652,22.838427,3.9649017,1.0927696,2.1098876,0.04
31,-2.3121965,4.26351,21.87507,4.1276755,1.0657085,1.997544,0.04
32,-2.2137716,4.2894187,20.593258,4.205834,1.0775895,2.1610522,0.04
33,-2.5506282,4.2178907,20.400858,3.6406677,1.089931,2.1449733,0.04
34,-2.7240121,4.2055273,20.440731,3.6114788,1.0924344,1.9414624,0.04
35,-2.6941464,4.19539,20.469366,4.096675,1.0658586,2.0660605,0.04
36,-2.692375,4.222587,22.328445,3.9100945,1.0600274,2.0275004,0.04
37,-2.9727306,4.188347,22.6271,3.9463031,1.0598112,1.9712973,0.04
38,-3.2400634,4.143667,21.209873,3.37312,1.0692613,1.9681062,0.04
39,-3.2487662,4.17143,21.098969,3.6014056,1.0731586,1.9289232,0.04
40,-3.4790733,4.204465,22.12593,4.1709924,1.0544969,2.0489569,0.04
41,-3.570416,4.184139,22.35716,4.338934,1.0560936,2.1638038,0.04
42,-3.5646884,4.204619,23.107788,4.329899,1.0584632,1.9249973,0.04
43,-3.735933,4.182272,23.786753,4.381046,1.052943,2.0728803,0.04
44,-3.9922311,4.2107086,24.095922,3.7217143,1.0611846,2.043838,0.04
