epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420076,2.0744917,9.369672,0.8405845,2.5341718,2.3541625,0.005
1,17.330204,2.169219,10.537911,0.81176895,2.635552,2.4124691,0.005
2,17.194044,2.3076174,12.530227,0.85268015,2.7321017,2.5566165,0.005
3,17.098188,2.5126646,15.057922,0.9203724,2.9097395,2.9311175,0.005
4,16.893879,2.7418926,18.949718,0.97347486,3.0804589,3.258817,0.005
5,16.672747,3.060083,25.000141,1.0429662,3.2193286,3.7101986,0.005
6,16.381094,3.401979,32.732685,0.98581225,3.4231617,4.1000605,0.005
7,15.755768,3.813727,40.966747,0.9232803,3.5626674,4.816274,0.005
8,15.3269005,4.4285736,55.236122,1.0896323,3.911598,5.9491396,0.005
9,14.536751,5.1227655,76.42244,1.1673135,4.283904,7.65592,0.005
10,13.602814,5.7582235,102.74703,1.169018,4.574855,9.854442,0.005
11,12.36897,6.4064746,125.757065,1.199432,5.0199842,11.650741,0.005
12,10.605921,6.9632583,145.6823,1.1325645,5.2730994,13.333846,0.005
13,8.038282,7.343485,172.23795,1.101933,5.7883277,15.623511,0.005
14,5.717543,7.626662,177.88152,1.0039394,6.472503,16.37836,0.005
15,3.3406632,7.098143,162.4414,0.8566159,6.0564303,16.02717,0.005
16,1.62455,7.2410774,148.18527,0.87786055,7.0699415,15.627652,0.005
17,-0.4383397,6.6760993,134.1097,0.773379,6.9273047,16.01879,0.005
18,-2.3915224,6.0137076,127.4741,0.6460038,6.928204,16.857616,0.005
19,-3.7647648,6.096092,125.30884,0.5626005,7.916247,18.15148,0.005
20,-5.091093,5.695874,138.90448,0.5698981,8.516589,21.529215,0.005
21,-7.864294,6.1878395,336.33267,0.5987945,12.958537,39.70351,0.005
22,-9.614258,7.9906464,542.77795,0.35663673,21.945631,57.3456,0.005
23,-12.474438,13.45961,863.5546,1.0145681,23.086311,111.27996,0.005
24,-16.14924,12.349519,472.13525,0.60334516,24.540207,71.135056,0.005
